age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,age_group,race
54,Male,High School,Yes,"$130,000 ~ $169,999",Too little,Too little,Too little,Too little,NA,NA,About right,Trump,NA,Agree,50-59 years old,American Native
44,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Other,1,Neither,40-49 years old,White
67,Female,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,3,NA,60-69 years old,White
74,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Disagree,70-79 years old,White
40,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,About right,About right,Clinton,NA,NA,40-49 years old,White
79,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,Disagree,70-79 years old,White
41,Female,Bachelors,Yes,NA,NA,NA,NA,NA,About right,Too much,About right,Trump,1,Neither,40-49 years old,White
43,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,About right,About right,Clinton,2,Neither,40-49 years old,White
84,Male,High School,Yes,"$90,000 ~ $129,999",About right,About right,About right,About right,NA,NA,About right,Trump,2,NA,80-89 years old,White
41,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Other,2,NA,40-49 years old,White
37,Male,High School,Yes,"$90,000 ~ $129,999",Too little,Too much,About right,Too little,NA,NA,Too little,Trump,1,NA,30-39 years old,White
85,Male,High School,Yes,"$20,000 ~ $39,999",About right,About right,About right,About right,NA,NA,About right,Trump,2,Strongly agree,80-89 years old,White
56,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Disagree,50-59 years old,White
NA,Male,High School,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,Too little,Other,2,NA,NA,White
71,Male,High School,Yes,NA,NA,NA,NA,NA,Too much,Too much,Too little,Trump,NA,NA,70-79 years old,White
55,Female,Graduate,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,50-59 years old,White
41,Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,Too little,Other,2,Agree,40-49 years old,White
63,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,NA,60-69 years old,White
41,Male,Graduate,Yes,"$170,000 or over",About right,About right,About right,About right,NA,NA,About right,Clinton,2,Disagree,40-49 years old,White
40,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,40-49 years old,White
57,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,2,Agree,50-59 years old,White
44,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Agree,40-49 years old,Other
33,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too much,Clinton,1,NA,30-39 years old,White
23,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,NA,20-29 years old,White
59,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,About right,NA,NA,Too little,Other,2,Neither,50-59 years old,Other
52,Male,Bachelors,Yes,"$130,000 ~ $169,999",About right,Too little,About right,About right,NA,NA,Too little,Clinton,2,NA,50-59 years old,White
26,Female,Graduate,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too little,Too little,Clinton,NA,NA,20-29 years old,White
57,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Neither,50-59 years old,White
74,Male,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,About right,Too much,About right,Trump,2,NA,70-79 years old,White
50,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,1,NA,50-59 years old,Black
82,Female,High School,Yes,"$10,000 ~ $19,999",Too much,Too little,About right,About right,NA,NA,About right,Clinton,NA,Agree,80-89 years old,White
78,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Agree,70-79 years old,White
38,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too much,Trump,1,NA,30-39 years old,White
64,Female,Associate College,Yes,"$10,000 ~ $19,999",Too much,Too much,Too little,Too much,NA,NA,About right,Trump,1,Strongly agree,60-69 years old,White
49,Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too little,About right,About right,NA,NA,Too little,Trump,NA,Disagree,40-49 years old,White
78,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,2,Agree,70-79 years old,White
85,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,80-89 years old,White
26,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,20-29 years old,White
65,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,NA,60-69 years old,White
66,Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,White
36,Transgender,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,Strongly disagree,30-39 years old,White
28,Female,High School,Yes,NA,Too little,About right,About right,About right,NA,NA,Too little,Clinton,1,Agree,20-29 years old,White
44,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Neither,40-49 years old,White
44,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Neither,40-49 years old,Black
39,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too much,Too much,About right,Too much,NA,NA,About right,Trump,1,NA,30-39 years old,White
64,Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,60-69 years old,Black
71,Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,About right,Clinton,2,NA,70-79 years old,White
68,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,60-69 years old,White
61,Female,Bachelors,Yes,"$170,000 or over",About right,Too much,About right,Too much,NA,NA,Too little,Trump,NA,NA,60-69 years old,White
79,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,70-79 years old,White
56,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,White
25,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,20-29 years old,White
57,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,Black
81,Female,High School,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,NA,80-89 years old,White
50,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,50-59 years old,White
67,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,60-69 years old,White
65,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,60-69 years old,White
30,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,Strongly disagree,30-39 years old,Asian
69,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too much,NA,NA,About right,Trump,NA,Agree,60-69 years old,White
83,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,80-89 years old,White
51,Male,Bachelors,No,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,50-59 years old,Other
58,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,Too little,Too much,NA,NA,Too little,Trump,2,Neither,50-59 years old,White
59,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,NA,50-59 years old,Black
69,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,60-69 years old,White
85,Male,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,NA,Trump,NA,NA,80-89 years old,White
60,Male,Associate College,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,White
62,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too much,Trump,1,NA,60-69 years old,White
26,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Disagree,20-29 years old,White
47,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,NA,40-49 years old,White
69,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,About right,About right,Trump,2,NA,60-69 years old,White
41,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,2,Disagree,40-49 years old,White
50,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Other,2,Disagree,50-59 years old,White
32,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,2,NA,30-39 years old,White
78,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,White
59,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,NA,50-59 years old,Black
58,Male,High School,Yes,"$40,000 ~ $59,999",About right,About right,Too little,About right,NA,NA,About right,Clinton,1,Agree,50-59 years old,Other
67,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,Black
71,Female,Graduate,Yes,NA,Too little,About right,About right,About right,NA,NA,Too little,Clinton,NA,Disagree,70-79 years old,White
55,Male,Less than high school,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,50-59 years old,White
30,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,About right,Too much,About right,NA,NA,About right,Clinton,1,NA,30-39 years old,White
73,Female,High School,No,NA,About right,Too much,About right,Too much,NA,NA,Too little,Trump,1,Neither,70-79 years old,White
77,Female,Graduate,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,70-79 years old,White
65,Female,Bachelors,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,NA,NA,60-69 years old,Other
69,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,60-69 years old,White
52,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,White
42,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,40-49 years old,White
NA,Female,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,NA,Asian
89,Female,Graduate,No,"$20,000 ~ $39,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,NA,80-89 years old,White
25,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,About right,NA,NA,Too little,Trump,NA,Strongly disagree,20-29 years old,White
NA,NA,High School,Yes,"$10,000 ~ $19,999",About right,Too little,About right,About right,NA,NA,About right,Clinton,2,NA,NA,Black
64,Male,High School,Yes,"$90,000 ~ $129,999",About right,Too much,Too much,Too much,NA,NA,Too little,Trump,1,NA,60-69 years old,White
61,Male,Associate College,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,Disagree,60-69 years old,White
65,Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,60-69 years old,White
71,Female,Graduate,Yes,NA,Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,1,NA,70-79 years old,Black
75,Male,Less than high school,No,"$40,000 ~ $59,999",Too much,Too little,About right,About right,NA,NA,About right,Trump,2,NA,70-79 years old,White
70,Male,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,Too little,NA,NA,Too little,Other,NA,Disagree,70-79 years old,White
39,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,Strongly disagree,30-39 years old,American Native
75,Male,High School,Yes,NA,Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,1,Strongly disagree,70-79 years old,White
71,Male,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,70-79 years old,Other
84,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,1,Disagree,80-89 years old,White
80,Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,1,NA,80-89 years old,White
36,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Disagree,30-39 years old,White
61,Female,High School,Yes,NA,About right,Too little,Too little,About right,NA,NA,Too little,Clinton,1,NA,60-69 years old,White
NA,Female,Bachelors,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,NA,White
34,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,30-39 years old,White
72,Female,Bachelors,No,"$60,000 ~ $89,999",About right,About right,About right,Too little,NA,NA,About right,Clinton,NA,Neither,70-79 years old,Asian
67,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,Other
81,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,Too little,About right,NA,NA,About right,Trump,NA,Neither,80-89 years old,White
69,Female,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,Strongly disagree,60-69 years old,White
63,Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,Too much,About right,NA,NA,Too little,Clinton,1,NA,60-69 years old,White
62,Female,Bachelors,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,60-69 years old,White
68,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,About right,NA,NA,Too little,Trump,1,Neither,60-69 years old,Other
72,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Strongly disagree,70-79 years old,White
76,Male,High School,Yes,"$60,000 ~ $89,999",About right,Too little,About right,Too little,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
24,NA,Bachelors,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too much,NA,NA,About right,Clinton,NA,Neither,20-29 years old,Hispanic
70,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Agree,70-79 years old,Black
74,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,70-79 years old,White
33,Male,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,30-39 years old,Black
59,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,50-59 years old,Black
29,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,20-29 years old,White
61,Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,60-69 years old,White
31,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too much,Clinton,1,Strongly disagree,30-39 years old,White
28,Female,Less than high school,Yes,"Under $10,000",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,NA,Strongly agree,20-29 years old,Black
67,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,60-69 years old,White
56,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Neither,50-59 years old,White
74,Male,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,2,NA,70-79 years old,White
63,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Neither,60-69 years old,Black
77,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,Too much,NA,NA,Too much,Other,NA,Disagree,70-79 years old,White
64,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,2,NA,60-69 years old,White
69,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,About right,NA,NA,About right,Trump,2,Disagree,60-69 years old,White
58,Female,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,About right,About right,Clinton,2,Disagree,50-59 years old,White
48,Male,Bachelors,Yes,NA,NA,NA,NA,NA,About right,Too much,Too much,Trump,1,NA,40-49 years old,White
62,Male,High School,Yes,"$10,000 ~ $19,999",Too little,About right,About right,About right,NA,NA,Too little,Clinton,2,NA,60-69 years old,White
64,Female,Bachelors,Yes,"$10,000 ~ $19,999",Too little,About right,About right,Too little,NA,NA,Too little,Clinton,1,NA,60-69 years old,White
39,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,2,NA,30-39 years old,White
70,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,NA,70-79 years old,White
52,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,About right,Trump,2,NA,50-59 years old,White
86,Female,High School,Yes,"Under $10,000",Too little,About right,About right,About right,NA,NA,About right,Trump,2,NA,80-89 years old,White
78,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,About right,Too much,About right,Trump,NA,NA,70-79 years old,White
72,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,70-79 years old,White
70,Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,1,NA,70-79 years old,White
NA,Male,Associate College,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,NA,White
51,Female,Bachelors,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,50-59 years old,Hispanic
49,Male,High School,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too much,NA,NA,About right,Clinton,2,Neither,40-49 years old,White
37,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,30-39 years old,White
66,Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too much,Too much,Too much,NA,NA,About right,Clinton,NA,Agree,60-69 years old,White
69,Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,60-69 years old,White
55,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,50-59 years old,Other
28,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,20-29 years old,White
36,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,About right,About right,NA,NA,About right,Clinton,2,Strongly disagree,30-39 years old,White
74,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too much,About right,Too much,NA,NA,About right,Trump,2,NA,70-79 years old,White
63,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,60-69 years old,White
84,Female,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Strongly disagree,80-89 years old,White
42,Male,High School,Yes,NA,Too little,Too little,Too little,About right,NA,NA,Too little,Trump,2,NA,40-49 years old,White
52,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,50-59 years old,White
39,Male,High School,No,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too much,Clinton,1,Disagree,30-39 years old,Black
65,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,About right,Did not vote,2,NA,60-69 years old,Asian
52,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,NA,50-59 years old,White
62,Female,High School,Yes,"$170,000 or over",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,Strongly agree,60-69 years old,White
31,Female,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Trump,2,NA,30-39 years old,White
78,Male,Graduate,Yes,NA,About right,Too much,About right,About right,NA,NA,About right,Trump,NA,Neither,70-79 years old,White
75,Female,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,70-79 years old,Other
55,Male,High School,Yes,"$130,000 ~ $169,999",Too little,About right,Too much,Too much,NA,NA,About right,Clinton,1,NA,50-59 years old,Black
54,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,50-59 years old,White
29,Female,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,20-29 years old,Asian
81,Female,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,80-89 years old,White
70,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,70-79 years old,White
44,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,1,NA,40-49 years old,White
32,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,30-39 years old,White
53,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,NA,50-59 years old,White
61,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Clinton,3,NA,60-69 years old,White
33,Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too little,Too much,About right,NA,NA,About right,Clinton,2,NA,30-39 years old,White
67,Male,Bachelors,No,"$170,000 or over",About right,Too little,About right,Too much,NA,NA,About right,Clinton,NA,Neither,60-69 years old,Asian
69,Male,High School,Yes,"$90,000 ~ $129,999",About right,Too much,About right,Too much,NA,NA,Too little,Trump,2,NA,60-69 years old,White
24,Female,High School,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,20-29 years old,White
84,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,80-89 years old,Black
58,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,NA,50-59 years old,White
73,Male,High School,Yes,"Under $10,000",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,70-79 years old,White
68,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,NA,NA,60-69 years old,White
63,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Clinton,1,Strongly disagree,60-69 years old,Asian
75,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,70-79 years old,White
59,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too much,NA,NA,About right,Clinton,1,NA,50-59 years old,Black
73,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,70-79 years old,White
68,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Agree,60-69 years old,White
51,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,50-59 years old,White
62,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,2,NA,60-69 years old,Other
37,Male,Associate College,No,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,30-39 years old,Black
62,Female,High School,Yes,NA,About right,Too little,About right,About right,NA,NA,Too little,Trump,2,NA,60-69 years old,White
62,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,2,Neither,60-69 years old,Hispanic
52,Male,Associate College,Yes,"$60,000 ~ $89,999",Too little,Too much,Too little,About right,NA,NA,Too little,Trump,1,NA,50-59 years old,White
57,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Disagree,50-59 years old,White
55,Female,High School,Yes,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,About right,Clinton,1,Disagree,50-59 years old,White
68,Male,Graduate,Yes,"$170,000 or over",About right,About right,About right,About right,NA,NA,About right,Other,1,Disagree,60-69 years old,White
71,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,2,NA,70-79 years old,White
60,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too much,Clinton,1,Disagree,60-69 years old,Asian
45,Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,3,Disagree,40-49 years old,White
25,Other,Bachelors,Yes,"Under $10,000",Too little,Too little,Too much,Too little,NA,NA,Too little,Other,NA,Disagree,20-29 years old,White
61,Female,Graduate,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,60-69 years old,White
42,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Neither,40-49 years old,Black
48,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,40-49 years old,White
